missionId,missionName,missionLaunchDate,missionOrigin,countryAllowed,missionDuration (in months),missionType,jobName,jobDescription,missionDescription,employmentRequirements,age,minimum years of experience,qualifications,occupations,minimum computer skills required,language required,secondary language,cargo for?,cargo required,quantity required (for each)
7003,mission1,30/09/2022,Austria,Austria,31,infrastructure,infrastructure,infrastructure,Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede. ultrices a. auctor non. feugiat nec. diam. Duis mi enim. condimentum eget. volutpat ornare. facilisis eget. ipsum. Donec,builder,24-50,5yr,MIT,general practitioner,advanced,english,chinese,mission,concrete. desserts. water,51
7006,mission2,28/10/2022,Austria,Austria,29,railways. town planning,railways. town planning,railways. town planning,nec. imperdiet nec. leo. Morbi neque tellus. imperdiet non. vestibulum nec. euismod in. dolor. Fusce feugiat. Lorem ipsum dolor sit amet. consectetuer adipiscing elit. Aliquam auctor. velit,designer,18-32,10yr,BE,manufacturer,expert,english,hausa. bengali. telugu,journey,chicken,391
7009,mission3,8/9/2025,United Kingdom,United Kingdom,88,roads,roads,roads,turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit,builder,24-50,5yr,ME,painter,intermediate,english,punjabi. mandarin. french,journey,soups,57
7012,mission4,1/2/2023,Austria,Austria,56,roads. architecture,roads. architecture,roads. architecture,pretium et. rutrum non. hendrerit id. ante. Nunc mauris sapien. cursus in. hendrerit consectetuer. cursus et. magna. Praesent interdum ligula eu enim. Etiam imperdiet,nurse,24-50,9yr,ME,designer,advanced,english,javanese,journeyAndMission,soups. pies,217
7015,mission5,26/04/2021,United States,United States,84,town planning,town planning,town planning,dis parturient montes. nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus. lorem fringilla,general practitioner,24-50,4yr,MBS,surgeon,advanced,english,chinese,journeyAndMission,desserts. cereals. sandwiches. surgical,24
7018,mission6,22/07/2024,United States,United States,95,roads. architecture,roads. architecture,roads. architecture,mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non,designer,18-50,1yr,MBBS,surgeon,expert,english,arabic,journeyAndMission,concrete. pasta,153
7021,mission7,19/07/2025,Austria,Austria,86,town planning,town planning,town planning,et. euismod et. commodo at. libero. Morbi accumsan laoreet ipsum. Curabitur consequat. lectus sit amet luctus vulputate. nisi sem semper erat. in consectetuer,nurse,24-50,1yr,BE,electrician,advanced,english,chinese,journey,desserts,471
7024,mission8,25/05/2023,United Kingdom,United Kingdom,37,roads. architecture,agriculture,agriculture,blandit enim consequat purus. Maecenas libero est. congue a. aliquet vel. vulputate eu. odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit. dictum eu. eleifend nec. malesuada,builder,24-50,2yr,MS,nurse,advanced,english,bengali. hausa,journey,pasta. surgical,114
7027,mission9,2/7/2024,Austria,Austria,52,town planning,town planning,town planning,non. vestibulum nec. euismod in. dolor. Fusce feugiat. Lorem ipsum dolor sit amet. consectetuer adipiscing elit. Aliquam auctor. velit eget laoreet posuere. enim nisl elementum purus. accumsan interdum libero dui,designer,18-32,7yr,MBS,electrician,advanced,english,greek. russian,mission,wood,481
7030,mission10,26/12/2023,United Kingdom,United Kingdom,34,railways,railways,railways,Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt. neque vitae semper egestas. urna justo faucibus lectus. a sollicitudin orci,painter,24-50,8yr,BE,surgeon,advanced,english,russian. arabic,journeyAndMission,wood,277
